climb_id,climb,height_gain_m,average_gradient,length_km,max_gradient,url,description
43,Holme Moss,204,9.00%,2.2,12.00%,https://cyclinguphill.com/holme-moss/,"Holme Moss stands as one of the top climbs in road cycling within the UK, distinguished by its challenging gradient and notable height gain for riders to contend with over a relatively short distance. The climb features an average gradient of approximately 9%, indicative of sustained steepness that demands consistent power output from cyclists throughout their ascent. With total length reaching just under 2 kilometers, Holme Moss offers a compact yet grueling test for endurance and skill within the realm of road cycling competitions or personal training endeavors alike.

The climb's most extreme gradient reaches up to an imposing 12%, presenting riders with sporadic but intense bursts that require swift adjustments in pedaling cadence, gear selection and overall effort management. Despite its short distance of approximately 2.2 kilometers, Holme Moss can still prove a formidable challenge for even the most seasoned cyclists due to these steep inclines interspersed with relatively flat stretches that offer brief respite before riders face another ascent towards the summit.

For enthusiasts looking to delve deeper into this iconic climb's history, statistics and more detailed information on its unique characteristics within UK cycling culture or even just a virtual tour of Holme Moss itself can be found at [https://cyclinguphill.com/holme-moss/](https://cyclinguphill.com/holme-moss/)."
44,Halifax Lane,185,11.00%,1.6,20.00%,https://cyclinguphill.com/100-climbs/halifax-lane-luddenden-bank/,"Halifax Lane, situated in Luddenden Bank, is recognized as one of the top climbs for road cycling enthusiasts across the UK's landscape. With a notable height gain of approximately 185 meters (m), this challenging route stretches over a distance of just under 2 kilometers at 1.6 km in length. Cyclists can expect an average gradient to test their endurance and strength, with gradients peaking upwards around the robust figure of 11%. However, there are moments where riders will encounter steeper inclines reaching a maximum gradient of about 20%, demanding exceptional climbing prowess from even seasoned cyclists. For those seeking more information or to learn additional details such as history and notable performances on this formidable ascension, visit the comprehensive guide at [Halifax Lane - Luddenden Bank](https://cyclinguphill.com/100-climbs/halifax-lane-luddenden-bank/)."
45,Park Rash,238,10.00%,2.1,25.00%,https://cyclinguphill.com/100-climbs/park-rash/,"The Park Rash climb in the UK stands as one of the most challenging routes among top road cycling ascents, with a total height gain of approximately 238 meters over its length. The average gradient throughout this test hill measures at an intense incline of 10.0%, reflecting just how steeply riders will need to tackle it during their ascent and descent phases.

Spanning only about 2.1 kilometers, the Park Rash is known for its formidable maximum gradient that can reach a staggering 25.0%. This climb requires not just physical endurance but also technical skill from cyclists looking to conquer it successfully on their bikes. The steep gradients and tight corners make this route especially demanding, making it popular among advanced riders who are seeking an ultimate challenge for both ascent and descent maneuvers.

For those interested in exploring more about the Park Rash climb or other top 100 road cycling ascents across the UK, you can visit this link: [https://cyclinguphill.com/100-climbs/park-rash/](https://cyclinguphill.com/100-climbs/park-rash/) where detailed information about various climbing routes and their respective gradients, lengths, as well as more specific data for each top 100 UK road cycling ascents can be found."
46,Oxnop Scar,243,6.00%,3.8,25.00%,https://cyclinguphill.com/oxnop-scar/,"The Oxnop Scar climb, standing proudly on the UK's top cycling routes list for road cyclists, offers a challenging and scenic ascent that will test even seasoned riders. Spanning approximately 3.8 kilometers with an average gradient of 6%, this grade can quickly turn into a steep climb when reaching its peak at up to 25%. The total height gain for cyclists tackling the full length is around 243 meters, providing ample opportunity for those seeking hill-climb mastery. For enthusiasts eager to delve deeper and explore this demanding route or others like it on a map, visit [https://cyclinguphill.com/oxnop-scar/](https://cyclinguphill.com/oxnop-scar/) for comprehensive information about the climb's history, characteristics, and its place among other top UK cycling challenges."
47,Malham Cove,199,6.00%,3.4,20.00%,https://cyclinguphill.com/100-climbs/malham-cove/,"Malham Cove stands out as a formidable challenge in the UK's road cycling topography, distinguished by its stunning limestone pavement that offers not only breathtaking scenery but also an exhilarating climb. With an average gradient of 6%, this gradual incline leads to Malham Cove which boasts a significant vertical rise—199 meters in total height gain over the course of its moderate length, spanning approximately 3.4 kilometers. The ascent is punctuated by sections that test riders with even steeper slopes reaching up to a maximum gradient of 20%, ensuring it remains one of Britain's most thrilling climbs for cyclists seeking an adrenaline rush and stunning views from the summit.

For those interested in exploring Malham Cove further, more detailed information can be found at [https://cyclinguphill.com/100-climbs/malham-cove/](https://cyclinguphill.com/100-climbs/malham-cove/)."
48,Langcliffe Scar,170,10.00%,2.3,20.00%,https://cyclinguphill.com/100-climbs/langcliffe-scar/,"The Langcliffe Scar climb is one of the most challenging ascents featured in a top list for road cycling within the UK, standing out as part of the country's rich and diverse terrain. With an impressive total height gain of approximately 170 meters over its length of just under 2 kilometers (2.3 km), Langcliffe Scar demands respect from any cyclist looking to conquer this notorious route. The climb presents a moderate average gradient of about 10%, but can reach an intimidating maximum ascent rate peaking at around 20%. This makes it both rewarding and punishing, providing riders with the opportunity for significant altitude gains while also testing their strength and endurance. For enthusiasts looking to experience this climb firsthand or delve deeper into its specifications, more detailed information can be accessed through the following link: [https://cyclinguphill.com/100-climbs/langcliffe-scar/](https://cyclinguphill.com/100-climbs/langcliffe-scar/)"
49,Buttertubs,223,9.00%,3.6,25.00%,https://cyclinguphill.com/buttertubs-pass-near-hawes/,"The Buttertubs Pass is a challenging road climb located near Hawes in the UK, featured on our top 100 list for its steep gradients and lengthy ascent. This test of endurance covers an impressive height gain of approximately 223 meters over just under four kilometers (3.6 km). On average, cyclists can expect a gradient of around 9%, which rapidly escalates to the maximum recorded climb rate of 25%. For those seeking more information about this demanding route and its place among other notable UK cycling challenges, you may visit our comprehensive guide at [https://cyclinguphill.com/buttertubs-pass-near-hawes/](https://cyclinguphill.com/buttertubs-pass-near-hawes/)."
50,Fleet Moss,323,6.00%,5.3,20.00%,https://cyclinguphill.com/fleet-moss/,"Fleet Moss stands out as a formidable challenge for road cyclists in the UK, presenting an average gradient of 6.0%. Over its relatively short length of just over five kilometers (5.3 km), it demands significant climbing prowess from riders with substantial height gain totaling approximately 323 meters at a maximum gradient reaching up to 20.0%. For those seeking further details or additional information on Fleet Moss, the full article can be accessed via this link: [Cyclinguphill's profile of Fleet Moss](https://cyclinguphill.com/fleet-moss/)."
51,Tan Hill,206,2.00%,9.9,12.00%,https://cyclinguphill.com/100-climbs/tan-hill/,"Tan Hill, a notable climb in the UK's road cycling landscape and part of the prestigious top 100 list, challenges riders with its unique characteristics. Reaching an elevation gain of approximately 206 meters over nearly 9.9 kilometers (or about 5 miles), Tan Hill is known for having a moderate average gradient of just under 2%. This climb stands out not only due to this relatively gentle slope but also because it boasts the steepest maximum gradient in its category at an impressive 12%, testifying to the demanding nature that can be expected from seasoned riders. For those interested in exploring more about Tan Hill and other such climbs, additional information is available through this link: [https://cyclinguphill.com/100-climbs/tan-hill/](https://cyclinguphill.com/100-climbs/tan-hill/)."
52,Greenhow Hill,282,10.00%,4,18.00%,https://cyclinguphill.com/greenhow-hill/,"Green How Hill, a challenging road climb located in the UK's top ten list of tough ascents for cyclists, rises steadily to an impressive height gain of 282 meters over its lengthy course. The average gradient that riders will encounter on this ascent is set at approximately 10%, ensuring a steady and demanding effort throughout the climb. Spanning roughly four kilometers from start to finish, Green How Hill demands consistent pacing given its maximum gradient peaking at an intense 18%. For those seeking further information or looking for detailed route maps, more about this prominent ascent can be found here: [https://cyclinguphill.com/greenhow-hill/](https://cyclinguphill.com/greenhow-hill/)"
53,Norwood Edge,169,11.00%,1.9,18.00%,https://cyclinguphill.com/norwood-edge/,"The Norwood Edge climb is a challenging road cycling route in the UK, featuring an impressive ascent that will test even seasoned cyclists. With its steep gradients and lengthy stretch of incline, it ranks among the top ten best climbs for professional riders looking to push their limits on British roads.

Starting from a moderate base elevation at 169 meters (554 feet) above sea level, cyclists will experience an average gradient of around 11%. As they progress upwards along the route's length of just over one and three-quarter kilometers (1.9 km), riders can expect to face even steeper gradients reaching a maximum of approximately 18%, making it particularly arduous for those without extensive experience on challenging climbs.

The Norwood Edge offers an exhilarating ride that will undoubtedly leave cyclists feeling accomplished and invigorated, as they conquer the hill's demanding terrain while enjoying stunning views of surrounding landscapes along their journey to the summit. To learn more about this climb or for information on other top-rated routes in the UK, visit [https://cyclinguphill.com/norwood-edge/](https://cyclinguphill.com/norwood-edge/)."
54,Boltby Bank,162,13.00%,1.3,20.00%,https://cyclinguphill.com/100-climbs/boltby-bank/,"Boltby Bank, a formidable climb in the UK's road cycling circuit, stands at an impressive height gain of 162 meters with varying gradients throughout its course. This ascent challenges cyclists to tackle an average gradient of approximately 13%, showcasing both technicality and endurance required for those who dare to conquer it. The length of the climb is a mere 1.3 kilometers, yet this short distance does little to ease the strain on riders as they navigate through its twists and turns at times reaching up to an intimidating maximum gradient of 20%. For enthusiasts eager to learn more about Boltby Bank's rankings within a top 100 list, further information can be found [here](https://cyclinguphill.com/100-climbs/boltby-bank/)."
55,Rosedale Chimney,179,14.00%,1.4,33.00%,https://cyclinguphill.com/100-climbs/rosedale-chimney/,"The Rosedale Chimney is a demanding climb that challenges even the most skilled road cyclists in the UK. With an average gradient of 14%, it ascends over its lengthy course, which spans just under 1.4 kilometers (0.87 miles). The steepest part reaches up to a daunting 33% incline, pushing riders' endurance and power output to their limits as they conquer the final stretch of this top-tier climb that gains an impressive height of approximately 179 meters (587 feet).

For those interested in exploring more information about Rosedale Chimney or other notable UK road cycling climbs, visit CyclinguHill.com at https://cyclinguphill.com/100-climbs/rosedale-chimney/."
56,White Horse Bank,175,10.00%,1.6,25.00%,https://cyclinguphill.com/100-climbs/white-horse-bank/,"White Horse Bank, located in the UK's road cycling circuit, presents an exhilarating challenge for climbers with its impressive ascent and steep gradients. The hill rises a formidable height of approximately 175 meters over a length of just 1.6 kilometers. Climbers can expect to navigate through average gradient sections around 10%, while the most intense part offers an even more daunting ascent with max grades reaching upwards of 25%. For those seeking detailed information on this top-ranked climb, including route descriptions and historical data, further insights can be found at https://cyclinguphill.com/100-climbs/white-horse-bank/."
57,The Stang,241,7.00%,3.8,17.00%,https://cyclinguphill.com/2013-national-hill-climb-championships-the-stang/,"The Stang, situated in the heart of England's picturesque countryside, represents a formidable challenge for road cyclists and is recognized as one of the UK's most esteemed climbs. With an impressive vertical rise spanning approximately 241 meters (790 feet), The Stang demands both physical endurance and technical finesse from its participants.

The average gradient over this arduous journey stands at a steep 7.0%, making it one of the more challenging climbs on Britain's road cycling circuit, yet still manageable for experienced riders with proper preparation. The total length of the ascent extends to about 3.8 kilometers (2.4 miles), providing ample opportunity for competitors and enthusiasts alike to test their mettle against this formidable climb's relentless incline, which can reach a daunting maximum gradient peak at around 17.0%.

For more detailed information about The Stang Hill Climb including its history, participant records and training tips for aspiring cyclists seeking to conquer it, please visit the following URL: [https://cyclinguphill.com/2013-national-hill-climb-championships-the-stang/#](https://cyclinguphill.com/2013-national-hill-climb-championships-the-stang/)"
58,Carlton Bank,202,10.00%,2,30.00%,https://cyclinguphill.com/carlton-bank/,"Carlton Bank is a challenging climb featured on the top list of road cycling in the UK, boasting an average gradient that tests even seasoned cyclists at approximately 10%. This ascent covers just over two kilometers (2.0 km) but demands considerable endurance and skill due to its steep nature with a maximum recorded gradient reaching upwards of 30%. For those seeking further details on Carlton Bank or planning their training around this notorious climb, additional information can be found at https://cyclinguphill.com/carlton-bank/."
59,Crawleyside,274,4.00%,6.2,20.00%,https://cyclinguphill.com/100-climbs/crawleyside/,"Crawleyside, a challenging climb featured on the top 100 UK road cycling ascents list, offers cyclists an exhilarating experience with its elevation gain of approximately 274 meters over a length of 6.2 kilometers. The average gradient throughout this ascent stands at about 4%, indicating moderate difficulty and providing riders the chance to push their limits while enjoying breathtaking scenery along the way. Notably, Crawleyside reaches its steepest climb with a maximum gradient of an intense 20.0%. For those interested in exploring further details about this demanding route or others on similar lists, more information can be found at [https://cyclinguphill.com/100-climbs/crawleyside/](https://cyclinguphill.com/100-climbs/crawleyside/)."
60,Peth Bank,141,8.00%,1.8,20.00%,https://cyclinguphill.com/100-climbs/perth-bank/,"Peth Bank offers a challenging experience for road cyclists in the UK, with an average gradient of 8.0%. The climb spans over approximately 1.8 kilometers and features its steepest section reaching up to a maximum gradient of 20.0%. For enthusiasts looking to test their limits or add Peth Bank to their cycling accomplishments list, further details are available at https://cyclinguphill.com/100-climbs/perth-bank/."
61,Winter’s Gibbet,153,4.00%,3.7,10.00%,https://cyclinguphill.com/100-climbs/winters-gibbet/,"Winter's Gibbet is a prominent climb featured on the list of top road cycling ascents in the UK, standing proudly among other challenging routes for enthusiasts. This particular route boasts an average gradient of approximately 4%, providing both moderate and seasoned cyclists with a demanding yet rewarding experience as they navigate its lengthy course that spans roughly 3.7 kilometers (or about three-quarters of a mile). The climb peaks at an impressive maximum incline of 10%, testing the endurance, strength, and technical skills required to conquer such terrain effectively.

For those interested in further exploring this unique challenge or any other aspect related to road cycling hills within the UK's topography, please visit [https://cyclinguphill.com/100-climbs/winters-gibbet/](https://cyclinguphill.com/100-climbs/winters-gibbet/) for detailed information and insights on this iconic ascent, along with other notable climbs in the region."
62,Chapel Fell,323,8.00%,4.1,16.00%,https://cyclinguphill.com/100-climbs/chapel-fell/,"Chapel Fell is the name of a challenging top climb featured on our list of UK's toughest road cycling ascents for intermediate to advanced riders, ranking at number one. Standing proudly in its category, this ascent presents an average gradient of approximately 8% over a lengthy stretch of just under four kilometers (4.1 km), with the steepest segment reaching upwards of 16%. The total height gain for cyclists to conquer is impressive at 323 meters—a testament to its demanding nature and one that will push riders' endurance limits while also offering a gratifying sense of accomplishment upon completion. For those seeking more information on the intricacies and history behind this climb, including details about route specifics or training tips for tackling it effectively, please visit [https://cyclinguphill.com/100-climbs/chapel-fell/](https://cyclinguphill.com/100-climbs/chapel-fell/)."
63,Mennock Pass,318,3.00%,9.9,10.00%,https://cyclinguphill.com/100-climbs/mennock-pass/,"The Mennock Pass, a renowned climb in the UK's road cycling circuit, challenges riders with an average gradient of just over 3%. Spanning approximately 9.9 kilometers from start to finish, this top 100 list contender features a maximum steepness peaking at 10%, providing both thrilling and grueling sections for the experienced cyclist or daring newcomer looking to test their limits on British roads. For more detailed information about Mennock Pass's characteristics and its position within this prestigious ranking, visit [https://cyclinguphill.com/100-climbs/mennock-pass/](https://cyclinguphill.com/100-climbs/mennock-pass/)."
64,Cairn O’ Mount,313,10.00%,3.3,14.00%,https://cyclinguphill.com/100-climbs/cairn-o-mount/,"Cairn O' Mount, featured on Cycling Hill Info (http://www.cyclinguphill.com), stands as a formidable challenge for UK road cyclists among the top 100 climbs list with its notable features: height gain of approximately 313 meters over a lengthy stretch of 3.3 kilometers, offering an average gradient that tests riders at around 10%. The most intense point on this ascent reaches up to a steep maximum gradient of 14%, presenting even the seasoned climber with considerable difficulty and reward for those who dare ascend its demanding slopes."
65,The Cairnwell,323,4.00%,8.5,12.00%,https://cyclinguphill.com/100-climbs/the-cairnwell/,"The Cairnwell is a formidable climb that ranks among the top ten most challenging ascents for road cyclists in the UK, with an impressive height gain of 323 meters over its length. The average gradient throughout this ascent stands at around 4.0%, which can test even seasoned riders' endurance and technique on a bicycle. Spanning approximately 8.5 kilometers from start to finish, the Cairnwell offers varying degrees of difficulty with a maximum gradient reaching up to an intimidating 12.0%. For those eager to learn more about this historic climb or any other top-ranked British cycling challenges, further details can be found at [https://cyclinguphill.com/100-climbs/the-cairnwell/](https://cyclinguphill.com/100-climbs/the-cairnwell/)."
66,The Lecht,245,8.00%,3,20.00%,https://cyclinguphill.com/100-climbs/the-lecht/,"The Lecht is a formidable climb featured on the UK's top road cycling routes, presenting an ascent that tests even seasoned riders with its steep gradients and long distance. Stretching over three kilometers from start to finish, The Lecht offers cyclists approximately 245 meters of vertical gain through a challenging climb characterized by an average gradient of around 8%. However, what sets this climb apart is not just the height it covers but its maximum recorded slope reaching up to an intimidating 20.0% at various sections along the route. For those seeking thrills and pushing their limits on tarmac roads in England's scenic landscapes, The Lecht stands as a notable test of endurance and skill among road cycling climbs across the UK.

For further details about this esteemed British top 100 climb or to explore more challenging routes throughout the country, please visit: [https://cyclinguphill.com/100-climbs/the-lecht/](https://cyclinguphill.com/100-climbs/the-lecht/)"
67,Cairn Gorm,300,5.00%,5.4,10.00%,https://cyclinguphill.com/100-climbs/cairn-gorm/,"The Cairn Gorm climb, located in the UK and ranking within its top 100 road cycling ascents, challenges riders with a total height gain of approximately 300 meters. This ascent spans about 5.4 kilometers, presenting an average gradient that gradually increases to reach up to 10 percent at steeper sections along the route. The climb's varying gradients require cyclists to adjust their strategies and efforts throughout its length. For those interested in exploring more details on this demanding terrain or similar cycling challenges, additional information can be found by visiting [https://cyclinguphill.com/100-climbs/cairn-gorm/](https://cyclinguphill.com/100-climbs/cairn-gorm/)."
68,Rest + be Thankful,253,6.00%,4.4,16.00%,https://cyclinguphill.com/100-climbs/rest-and-be-thankful/,"The \Rest + be Thankful\"" climb, located in the UK and featuring among its top 100 road cycling challenges, offers a unique blend of scenic beauty with physical endurance. With an ascent covering approximately 4.4 kilometers (253 meters), riders are treated to moderate gradients that test their climbing skills without overwhelming them completely. The average gradient stands at a manageable 6%, ensuring the ride remains accessible for cyclists of various experience levels while still providing an engaging challenge."
,,,,,,,
"The most demanding section, known as \""Rest + be Thankful,\"" reaches its peak with an impressive maximum grade of 16%. This segment requires riders to push themselves further and embrace a sense of gratitude—reflected in the climb's name itself. The overall length combined offers ample opportunity for strategic pacing, allowing cyclists to conserve energy before confronting this demanding stretch head-on with determination and skill.",,,,,,,
,,,,,,,
"For more information about \""Rest + be Thankful\"" or other top 100 UK road cycling climbs, visit [https://cyclinguphill.com/100-climbs/rest-and-be-thankful/](https://cyclinguphill.com/100-climbs/rest-and-be-thankful/).""",,,,,,,
69,Bealach-Na-Ba,623,7.00%,8.9,20.00%,https://cyclinguphill.com/100-climbs/bealach-na-ba/,"Bealach-Na-Ba stands proudly as one of the UK's top climbs for road cycling, boasting an average gradient of a challenging yet invigorating 7.0%. The total distance to conquer this alpine test is approximately 8.9 kilometers with a maximum steep incline reaching up to 20.0%. Climbers will experience significant elevation gain as they tackle the summit, which stands at an impressive height of 623 meters above sea level. For those looking to expand their cycling repertoire or seeking more information about this demanding route, additional details can be found on Cyclinguphill's comprehensive guide for climbs: [Explore Bealach-Na-Ba](https://cyclinguphill.com/100-climbs/bealach-na-ba/)."
70,Cat and Fiddle,381,3.00%,11.2,5.00%,https://cyclinguphill.com/100-climbs/cat-fiddle/,"The Cat and Fiddle climb is a challenging ascent featured in the top 100 road cycling climbs across the UK, known for its steep gradient that tests even seasoned riders. The rise of approximately 381 meters occurs over an average length of about 11.2 kilometers with an initial consistent slope averaging a gentle incline at 3.0%. However, cyclists can expect to face more severe challenges as the climb progresses; it reaches its maximum gradient peak around halfway through where gradients escalate up to 5.0%, requiring considerable strength and endurance from riders aiming for an efficient ride or time trial performance on this notoriously tough hill. For further details, including historical data and statistics about the climb's difficulty level relative to other UK road cycling challenges, visit [https://cyclinguphill.com/100-climbs/cat-fiddle/](https://cyclinguphill.com/100-climbs/cat-fiddle/)."
71,Swiss Hill,69,13.00%,0.5,17.00%,https://cyclinguphill.com/100-climbs/swiss-hill/,"Swiss Hill stands as a formidable challenge among the UK's top 100 climbs for road cycling enthusiasts, with its daunting rise of approximately 69 meters over just half a kilometer. The average gradient on this steep incline is around 13%, but it can surge up to an intimidating maximum of 17% at certain points along the route. Riders looking for their next climbing test will find Swiss Hill's demanding profile both invigorating and challenging, pushing them beyond comfort zones on every ascent.

For those seeking more information or detailed metrics about this legendary UK road cycling hillclimb—including its historical significance, past champions, best times achieved by cyclists of various categories, and a comprehensive analysis of the climb's difficulty level in relation to others around it—please visit: [https://cyclinguphill.com/100-climbs/swiss-hill](https://cyclinguphill.com/100-climbs/swiss-hill)"
72,The Rake,101,12.00%,0.95,23.00%,https://cyclinguphill.com/rake-hill-climb/,"The Rake is a challenging climb featured on the top 100 list for road cycling in the UK, known to test even seasoned riders' endurance and strength. With an ascent of approximately 101 meters (331 feet), The Rake offers cyclists various gradients ranging from a manageable average gradient of 12% up to steep inclines reaching nearly 23%. Spanning just under one kilometer, the climb is relatively short but provides significant technical difficulty and physical exertion. For those interested in exploring further details or seeking training tips for tackling this noteworthy hill, additional information can be found at [The Rake Hill Climb](https://cyclinguphill.com/rake-hill-climb/)."
73,Garsdale Head,222,6.00%,3.6,20.00%,https://cyclinguphill.com/100-climbs/garsdale-head/,"Garsdale Head is a formidable climb that challenges even the most seasoned road cyclists in the UK's top 100 list. With an average gradient of 6.0%, this ascent spans approximately 3.6 kilometers and features its steepest section at a maximum gradient of 20%. Ascending Garsdale Head requires not only physical endurance but also strategic climbing techniques to tackle the sustained incline that leads upwards over an elevation gain of 222 meters, making it both arduous and rewarding for cyclists aiming to conquer this summit. For enthusiasts interested in delving deeper into Garsdale Head's history or seeking additional climbing tips from experienced riders, further information can be found at [https://cyclinguphill.com/100-climbs/garsdale-head/](https://cyclinguphill.com/100-climbs/garsdale-head/)."
74,Nick O’ Pendle,145,11.00%,1.3,14.00%,https://cyclinguphill.com/nick-o-pendle/,"Nick O'Pendle is a challenging road climb located in the UK, standing tall with an impressive height gain of approximately 145 meters over its length of just 1.3 kilometers (0.8 miles). As one tackles this ascent, cyclists will experience average gradients around 11%, which can escalate to a maximum gradient of 14%. The climb's demanding nature makes it noteworthy among the top-rated road ascents in the country and has earned its place on cycling enthusiast lists. For more detailed information about Nick O’Pendle, including maps and ride reports from experienced cyclists, you can visit [https://cyclinguphill.com/nick-o-pendle/](https://cyclinguphill.com/nick-o-pendle/)."
75,Trough of Bowland,144,6.00%,2.2,16.00%,https://cyclinguphill.com/100-climbs/trough-bowland/,"The Trough of Bowland climb, which ranks at number one on the list of top road cycling routes in the UK for its difficulty and scenic beauty, spans a length of approximately 2.2 kilometers with an average gradient of 6%. Riders can expect to face gradients as steep as 16% during their ascent. This challenging climb offers over 144 meters of elevation gain that demands endurance and technical skill from cyclists tackling this route. The Trough of Bowland is a notable feature on the cycling landscape, showcasing dramatic landscapes along its winding path to those who dare to conquer it. For further details about race conditions or training tips for this climb, please visit https://cyclinguphill.com/100-climbs/trough-bowland/."
76,Jubilee Tower,230,6.00%,4.1,16.00%,https://cyclinguphill.com/100-climbs/jubilee-tower/,"The Jubilee Tower climb is a challenging road cycling route located in the UK, featuring an ascent that rises to a height gain of approximately 230 meters. The gradient averages at about 6% but can peak dramatically at up to 16%, demanding both strength and endurance from riders tackling this climb. Spanning just over four kilometers in length, the Jubilee Tower presents a steep yet rewarding test of skill for cyclists aiming to make it into their top 100 list of UK road cycling ascents.

For more detailed information on the challenges and statistics associated with this climb or other similar routes within the region, please visit: [https://cyclinguphill.com/100-climbs/jubilee-tower/](https://cyclinguphill.com/100-climbs/jubilee-tower/)"
77,Hartside Fell,396,5.00%,7.6,7.00%,https://cyclinguphill.com/hartside-fell/,"Hartside Fell is a challenging climb for road cyclists, located in the UK's top cycling regions known as part of the \top 100\"" list due to its demanding nature on both speed and endurance. With an impressive height gain of approximately 396 meters (m), it poses a significant test over the lengthy stretch of 7.6 kilometers (km) that cyclists must cover during their ascent or descent, depending on directional preference."
,,,,,,,
"The average gradient of this climb is recorded at around 5.0%, making for an uphill battle against gravity throughout much of its course; however, it reaches a steep peak with maximum gradients clocking in at a daunting 7.0%. This makes Hartside Fell particularly noteworthy among cyclists seeking to challenge themselves on routes that test their climbing skills and provide memorable rides for those who dare ascend its slopes or take advantage of the rewarding descents it offers after reaching summits such as this one.",,,,,,,
,,,,,,,
"For more information about Hartside Fell, including detailed route descriptions, recommended equipment lists, training tips to prepare adequately for tackling tough climbs like these ones and potential local routes that may be suitable or nearby alternatives depending on cyclists' experience level - visit: https://cyclinguphill.com/hartside-fell/.""",,,,,,,
78,Lamps Moss,302,8.00%,4,17.00%,https://cyclinguphill.com/100-climbs/lamps-moss/,"Lamps Moss, located in the heart of Britain's countryside, stands proudly on a list of top road cycling climbs for enthusiasts and professionals alike. This esteemed challenge encompasses an impressive ascent with over three hundred meters of elevation gain within just four kilometers—a true testament to its steep incline. As cyclists approach this demanding route, they will encounter average gradients hovering around 8 percent but may be tested even further when the gradient surges past a daunting 17 percent at certain points along the climb. For those seeking additional insights or wanting to compare Lamps Moss against other formidable British ascents on your cycling bucket list, visit https://cyclinguphill.com/100-climbs/lamps-moss/."
79,Cross of Greet,182,6.00%,2.9,13.00%,https://cyclinguphill.com/100-climbs/cross-of-greet/,"The Cross of Greet stands as a formidable challenge in the UK's top 100 climbs for road cycling, with an impressive height gain of approximately 182 meters. Cyclists will encounter average gradients around 6%, providing a steady and demanding test on their endurance and strength throughout its length of just over two kilometers (2.9 km). The ascent is notably punishing at times, with maximum gradient spikes reaching up to an intimidating 13%. For those seeking more information or looking for the details about this climb's characteristics such as route specifics and historical data on previous competitions held here, further insights can be found by visiting [https://cyclinguphill.com/100-climbs/cross-of-greet/](https://cyclinguphill.com/100-climbs/cross-of-greet/)."
80,Honister Pass,239,7.00%,3.7,25.00%,https://cyclinguphill.com/honister-pass/,"Honister Pass, a prominent climb in the UK road cycling circuit, offers an ascent with notable challenges for cyclists at all levels of expertise. Standing prominently among top British routes, this pass gains approximately 239 meters in elevation over its length. The average gradient encountered during this climb is a demanding 7%, providing riders with sustained efforts and opportunities to test their endurance on the slopes of Honister Pass.

Covered by roughly three-quarters of a kilometer, cyclists will experience an ascent that varies in difficulty from gentle inclines up to steep grades reaching 25%. This variation requires riders to maintain adaptable strategies throughout their journey along the pass's lengthy climb. Honister Pass is particularly well known for its scenic vistas and challenging terrain, making it a sought-after route by cyclists seeking both beauty and physical challenge on British roads.

For those interested in exploring more about this iconic UK road cycling climb or planning their ascent to the summit of Honister Pass, further information can be found at https://cyclinguphill.com/honister-pass/. This resource offers additional details such as route descriptions, elevation profiles, and advice on navigating the pass's unique landscape for a rewarding cycling experience in England's renowned climbing routes."
81,Newlands House,205,11.00%,1.9,25.00%,https://cyclinguphill.com/100-climbs/newlands-house-pass/,"Newlands House is a renowned climb featured on the list of top UK road cycling ascents, ranking among the elite in terms of both difficulty and spectacle. This challenging ascent offers cyclists an impressive height gain of approximately 205 meters over its lengthy track which extends for about 1.9 kilometers from start to finish. The average gradient on this climb stands at a demanding 11%, but it is worth noting that the maximum grade encountered along Newlands House can reach an even more daunting 25%. Riders who conquer this mountainous route will be rewarded with breathtaking views and a sense of accomplishment. For those interested in exploring further or learning about similar climbs, please visit [https://cyclinguphill.com/100-climbs/newlands-house-pass/](https://cyclinguphill.com/100-climbs/newlands-house-pass/) for additional information and insights into this climb's history, statistics, or to compare it with other challenging ascents across the UK cycling network."
82,Whinlatter Pass,231,7.00%,3.3,15.00%,https://cyclinguphill.com/100-climbs/whinlatter-pass/,"The Whinlatter Pass is a formidable climb featured in the top 100 road cycling ascents across the UK, known for its challenging terrain and rewarding views. The ascent covers approximately 3.3 kilometers of single-track riding with an average gradient of 7.0%. Riders can expect a maximum steepness reaching up to 15.0% at certain points throughout this climb. With total height gain measuring around 231 meters, it tests the mettle and endurance of cyclists who undertake this demanding route.

To learn more about Whinlatter Pass or other cycling routes in the UK, visit [https://cyclinguphill.com/100-climbs/whinlatter-pass/](https://cyclinguphill.com/100-climbs/whinlatter-pass/)."
83,Kirkstone Pass,292,6.00%,5.3,16.00%,https://cyclinguphill.com/kirkstone-pass/,"The Kirkstone Pass is a challenging climb featured on the top 100 road cycling routes in the UK, renowned for its daunting ascent and rewarding panoramic views atop. With an average gradient of approximately 6%, it stretches over a length of just under five kilometers (5.3 km). The climb starts relatively gently but quickly intensifies to reach a maximum gradient that can surpass 16%. This steep incline makes the ascent demanding, even for seasoned cyclists seeking an adrenaline-pumping experience and picturesque landscapes at altitude. Climbers should be prepared with substantial climbing strength and endurance to conquer this formidable route successfully.

For more information about Kirkstone Pass or any other cycling destination, please visit [https://cyclinguphill.com/kirkstone-pass/](https://cyclinguphill.com/kirkstone-pass/)."
